fund_name,date,nav
HDFC Top 100 Fund - Direct Plan - Growth,28-07-2026,106.86110
HDFC Top 100 Fund - Direct Plan - Growth,27-07-2026,106.81260
HDFC Top 100 Fund - Direct Plan - Growth,24-07-2026,106.59610
HDFC Top 100 Fund - Direct Plan - Growth,23-07-2026,106.58510
HDFC Top 100 Fund - Direct Plan - Growth,22-07-2026,106.61070
HDFC Top 100 Fund - Direct Plan - Growth,21-07-2026,106.65670
HDFC Top 100 Fund - Direct Plan - Growth,20-07-2026,106.57370
HDFC Top 100 Fund - Direct Plan - Growth,17-07-2026,106.60010
HDFC Top 100 Fund - Direct Plan - Growth,16-07-2026,106.58290
HDFC Top 100 Fund - Direct Plan - Growth,15-07-2026,106.51160
HDFC Top 100 Fund - Direct Plan - Growth,14-07-2026,106.46090
HDFC Top 100 Fund - Direct Plan - Growth,13-07-2026,106.70260
HDFC Top 100 Fund - Direct Plan - Growth,10-07-2026,106.69460
HDFC Top 100 Fund - Direct Plan - Growth,09-07-2026,106.57760
HDFC Top 100 Fund - Direct Plan - Growth,08-07-2026,106.55870
HDFC Top 100 Fund - Direct Plan - Growth,07-07-2026,106.79770
HDFC Top 100 Fund - Direct Plan - Growth,06-07-2026,106.84310
HDFC Top 100 Fund - Direct Plan - Growth,03-07-2026,106.80420
HDFC Top 100 Fund - Direct Plan - Growth,02-07-2026,106.77210
HDFC Top 100 Fund - Direct Plan - Growth,01-07-2026,106.64510
HDFC Top 100 Fund - Direct Plan - Growth,30-06-2026,106.62250
HDFC Top 100 Fund - Direct Plan - Growth,29-06-2026,106.46480
HDFC Top 100 Fund - Direct Plan - Growth,25-06-2026,106.30570
HDFC Top 100 Fund - Direct Plan - Growth,24-06-2026,106.12680
HDFC Top 100 Fund - Direct Plan - Growth,23-06-2026,106.04100
HDFC Top 100 Fund - Direct Plan - Growth,22-06-2026,105.98500
HDFC Top 100 Fund - Direct Plan - Growth,19-06-2026,105.92190
HDFC Top 100 Fund - Direct Plan - Growth,18-06-2026,105.90030
HDFC Top 100 Fund - Direct Plan - Growth,17-06-2026,105.84820
HDFC Top 100 Fund - Direct Plan - Growth,16-06-2026,105.84550
HDFC Top 100 Fund - Direct Plan - Growth,15-06-2026,105.81250
HDFC Top 100 Fund - Direct Plan - Growth,12-06-2026,105.68640
HDFC Top 100 Fund - Direct Plan - Growth,11-06-2026,105.57370
HDFC Top 100 Fund - Direct Plan - Growth,10-06-2026,105.65690
HDFC Top 100 Fund - Direct Plan - Growth,09-06-2026,105.57930
HDFC Top 100 Fund - Direct Plan - Growth,08-06-2026,105.30840
HDFC Top 100 Fund - Direct Plan - Growth,05-06-2026,105.10700
HDFC Top 100 Fund - Direct Plan - Growth,04-06-2026,104.80950
HDFC Top 100 Fund - Direct Plan - Growth,03-06-2026,104.74960
HDFC Top 100 Fund - Direct Plan - Growth,02-06-2026,104.76630
HDFC Top 100 Fund - Direct Plan - Growth,01-06-2026,104.70250
HDFC Top 100 Fund - Direct Plan - Growth,29-05-2026,104.65700
HDFC Top 100 Fund - Direct Plan - Growth,27-05-2026,104.58330
HDFC Top 100 Fund - Direct Plan - Growth,26-05-2026,104.52690
HDFC Top 100 Fund - Direct Plan - Growth,25-05-2026,104.52150
HDFC Top 100 Fund - Direct Plan - Growth,22-05-2026,104.34670
HDFC Top 100 Fund - Direct Plan - Growth,21-05-2026,104.28500
HDFC Top 100 Fund - Direct Plan - Growth,20-05-2026,104.38260
HDFC Top 100 Fund - Direct Plan - Growth,19-05-2026,104.42160
HDFC Top 100 Fund - Direct Plan - Growth,18-05-2026,104.37910
HDFC Top 100 Fund - Direct Plan - Growth,15-05-2026,104.59680
HDFC Top 100 Fund - Direct Plan - Growth,14-05-2026,104.73180
HDFC Top 100 Fund - Direct Plan - Growth,13-05-2026,104.73710
